"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"21/01/2024";"0500";"21,1";"22,0";"20,7";"86,0";"86,0";"80,0";"18,6";"18,6";"18,2";"886,4";"886,9";"886,4";"1,5";"267,0";"2,4";"";"0,0"
"21/01/2024";"0600";"21,5";"21,6";"21,1";"82,0";"86,0";"82,0";"18,3";"18,6";"18,3";"886,1";"886,4";"886,1";"1,3";"247,0";"2,5";"";"0,0"
"21/01/2024";"0700";"20,7";"21,6";"20,7";"85,0";"85,0";"82,0";"18,2";"18,4";"18,2";"886,0";"886,2";"886,0";"0,9";"283,0";"3,1";"";"0,0"
"21/01/2024";"0800";"19,5";"20,7";"19,5";"91,0";"92,0";"85,0";"18,1";"18,6";"18,1";"886,1";"886,1";"886,0";"1,1";"262,0";"2,0";"";"0,0"
"21/01/2024";"0900";"20,5";"20,5";"19,0";"89,0";"95,0";"89,0";"18,7";"18,9";"18,0";"886,7";"886,7";"886,1";"1,6";"210,0";"3,4";"";"0,0"
"21/01/2024";"1000";"22,5";"22,5";"20,5";"80,0";"89,0";"80,0";"19,0";"19,0";"18,5";"887,4";"887,5";"886,7";"1,8";"230,0";"4,4";"315,30";"0,0"
"21/01/2024";"1100";"22,8";"22,9";"22,2";"79,0";"81,0";"79,0";"18,9";"19,4";"18,7";"887,7";"887,8";"887,4";"2,4";"205,0";"4,7";"782,40";"0,0"
"21/01/2024";"1200";"25,3";"25,4";"22,8";"69,0";"79,0";"69,0";"19,2";"19,8";"18,8";"888,2";"888,2";"887,7";"1,3";"226,0";"4,0";"1658,50";"0,0"
"21/01/2024";"1300";"26,1";"26,8";"25,3";"67,0";"71,0";"64,0";"19,6";"19,9";"18,9";"888,3";"888,4";"888,2";"2,2";"240,0";"5,0";"2220,40";"0,0"
"21/01/2024";"1400";"28,1";"28,7";"26,1";"55,0";"68,0";"55,0";"18,4";"20,1";"18,2";"888,0";"888,3";"887,9";"2,5";"277,0";"6,3";"2489,80";"0,0"
"21/01/2024";"1500";"29,4";"29,4";"27,4";"49,0";"59,0";"49,0";"17,7";"19,4";"17,4";"887,2";"888,0";"887,1";"3,2";"293,0";"6,4";"2636,90";"0,0"
"21/01/2024";"1600";"29,5";"29,7";"28,0";"51,0";"57,0";"49,0";"18,3";"19,4";"17,3";"886,2";"887,2";"886,2";"3,7";"250,0";"8,0";"2477,40";"0,0"
"21/01/2024";"1700";"30,2";"30,4";"29,1";"44,0";"52,0";"41,0";"16,5";"18,4";"15,3";"885,5";"886,2";"885,4";"3,5";"288,0";"7,6";"3633,60";"0,0"
"21/01/2024";"1800";"29,8";"30,9";"29,4";"45,0";"48,0";"40,0";"16,4";"17,5";"15,5";"884,4";"885,5";"884,4";"3,3";"280,0";"7,7";"3122,90";"0,0"
"21/01/2024";"1900";"28,9";"31,0";"28,9";"43,0";"48,0";"39,0";"15,2";"18,2";"15,1";"884,1";"884,5";"884,0";"3,3";"259,0";"6,9";"1725,70";"0,0"
"21/01/2024";"2000";"19,4";"28,9";"19,4";"93,0";"93,0";"43,0";"18,3";"19,1";"15,4";"885,9";"885,9";"884,1";"5,4";"252,0";"10,6";"170,50";"3,2"
"21/01/2024";"2100";"19,6";"19,7";"19,3";"90,0";"96,0";"89,0";"18,0";"18,9";"17,9";"886,0";"886,3";"885,9";"2,2";"261,0";"12,7";"18,10";"3,2"
"21/01/2024";"2200";"20,8";"20,8";"19,6";"94,0";"95,0";"90,0";"19,7";"19,8";"18,0";"886,2";"886,2";"885,7";"1,3";"208,0";"5,7";"10,40";"0,6"
"21/01/2024";"2300";"21,2";"21,2";"20,6";"96,0";"96,0";"94,0";"20,6";"20,6";"19,6";"887,2";"887,2";"886,2";"0,3";"136,0";"2,2";"";"0,0"
